TotalSalesValue,AllocatedValue,Status,QtyAllocated,xLineNumber,InvoiceDate,SalesQuantity,SalesQtyAllocated,InvoiceNo,ItemNumber,ItemDescription,DutyFreePaid,pCNumber,pRegistrationDate,pQuantity,pQtyAllocated,PiQuantity,xCNumber,xRegistrationDate,pLineNumber,SalesCost,Total_CIF_itm,DutyLiability,TaxAmount,pIsAssessed,DoNotAllocateSales,DoNotAllocatePreviousEntry,SANumber,pReferenceNumber,xReferenceNumber,TariffCode,Invalid,pExpiryDate
"1.6599999666214","1.6599999666214","Over Allocated Entry by 1","1",,"9/4/2018 12:00:00 AM","1","0","GB00043374","BM/SNS05E","Snap-Hook, 50 x 5mm SS w/Eye","Duty Free","37855","10/7/2018 12:00:00 AM","1","1",,,,"100","1.6599999666214","2.02999997138977","0.44","0","True",,,"4","OPS-2018-08-31-F4",,"73181300","False","10/6/2020 12:00:00 AM"
"2.29999995231628","2.29999995231628","No Asycuda Entries Found","1",,"9/4/2018 12:00:00 AM","1","0","GB00043374","8BM/MK-BAG-REUSE510","Carrier Bag Reusable PP Woven 510mm x445","Duty Free",,,,,,,,,"2.29999995231628",,,"0",,,,"16",,,,,
"4.07000005245209","1.11000001430511","Over Allocated Entry by 3","3",,"9/4/2018 12:00:00 AM","11","8","GB00043393","HS/CLN014","Hose, Clear Non-Reinforced PVC 1/4""  /F","Duty Free","37734","10/5/2018 12:00:00 AM","8","8",,,,"115","0.370000004768372","2.96000003814697","0.64","0","True",,,"2","OPS-2018-08-31-F11",,"40091100","False","10/4/2020 12:00:00 AM"
"722.590026855469","722.590026855469","Over Allocated Entry by 1","1",,"9/4/2018 12:00:00 AM","1","0","GB00043396","SOL/ESF-M-M265W","Solar Panel, 265W Mono 31Vmp L:1655 Wd:9","Duty Free","37776","10/5/2018 12:00:00 AM","1","1",,,,"24","722.590026855469","722.590026855469","36.13","0","True",,,"2","OPS-2018-08-31-F19",,"85414010","False","10/4/2020 12:00:00 AM"
"722.590026855469","722.590026855469","Over Allocated Entry by 1","1",,"9/4/2018 12:00:00 AM","1","0","GB00043396","SOL/ESF-M-M265W","Solar Panel, 265W Mono 31Vmp L:1655 Wd:9","Duty Free","37776","10/5/2018 12:00:00 AM","1","1",,,,"24","722.590026855469","722.590026855469","36.13","0","True",,,"3","OPS-2018-08-31-F19",,"85414010","False","10/4/2020 12:00:00 AM"
"0.560000002384186","0.560000002384186","No Asycuda Entries Found","1",,"9/4/2018 12:00:00 AM","1","0","GB00043400","8BM/PM-PAINTSTICK","Paint-Stick, 12"" Wood Labelled Budget Ma","Duty Free",,,,,,,,,"0.560000002384186",,,"0",,,,"6",,,,,
"0.560000002384186","0.560000002384186","No Asycuda Entries Found","1",,"9/4/2018 12:00:00 AM","1","0","GB00043400","8BM/PM-PAINTSTICK","Paint-Stick, 12"" Wood Labelled Budget Ma","Duty Free",,,,,,,,,"0.560000002384186",,,"0",,,,"7",,,,,
"0.0500000007450581","0.0500000007450581","Over Allocated Entry by 1","1",,"9/4/2018 12:00:00 AM","1","0","GB00043433","FAS/SULO6","Lock Nut, SS A4 M06 Low","Duty Free","37856","10/7/2018 12:00:00 AM","59","59",,,,"263","0.0500000007450581","2.95000004768372","0.64","0","True",,,"10","OPS-2018-08-31-F8",,"74153300","False","10/6/2020 12:00:00 AM"
"0.0500000007450581","0.0500000007450581","Over Allocated Entry by 1","1",,"9/4/2018 12:00:00 AM","1","0","GB00043433","FAS/SULO6","Lock Nut, SS A4 M06 Low","Duty Free","37856","10/7/2018 12:00:00 AM","59","59",,,,"263","0.0500000007450581","2.95000004768372","0.64","0","True",,,"11","OPS-2018-08-31-F8",,"74153300","False","10/6/2020 12:00:00 AM"
"0.0500000007450581","0.0500000007450581","Over Allocated Entry by 1","1",,"9/4/2018 12:00:00 AM","1","0","GB00043433","FAS/SULO6","Lock Nut, SS A4 M06 Low","Duty Free","37856","10/7/2018 12:00:00 AM","59","59",,,,"263","0.0500000007450581","2.95000004768372","0.64","0","True",,,"12","OPS-2018-08-31-F8",,"74153300","False","10/6/2020 12:00:00 AM"
"-20.6700000762939","-20.6700000762939","Returned More than Sold","-1",,"9/4/2018 12:00:00 AM","-1","0","GB00043435","PSP/P112506020","Foam Tape, Vinyl Bk Thk:2.5cm Wd:6mm L:3","Duty Free",,,,,,,,,"20.6700000762939",,,"0",,,,"1",,,,,
"-58.8800010681152","-58.8800010681152","Returned More than Sold","-1",,"9/4/2018 12:00:00 AM","-1","0","GB00043438","MMM/36106","Cutting Compound, P1000Mdium w/Wax Qt","Duty Free",,,,,,,,,"58.8800010681152",,,"0",,,,"1",,,,,
"73.6800003051758","73.6800003051758","Over Allocated Entry by 1","1",,"9/4/2018 12:00:00 AM","1","0","GB00043445","CB/BM30X45","Cutlass-Bearing, 30 x 45 x 120mm Brs","Duty Free","37706","10/5/2018 12:00:00 AM",,"0",,,,"40","73.6800003051758","589.440002441406","127.61","0","True",,,"1","OPS-2018-08-31-F5",,"84839029","False","10/4/2020 12:00:00 AM"
"0.560000002384186","0.560000002384186","No Asycuda Entries Found","1",,"9/4/2018 12:00:00 AM","1","0","GB00043451","8BM/PM-PAINTSTICK","Paint-Stick, 12"" Wood Labelled Budget Ma","Duty Paid",,,,,,,,,"0.560000002384186",,,"19.9599990844727",,,,"2",,,,,
"271.940002441406","271.940002441406","No Asycuda Entries Found","1",,"9/4/2018 12:00:00 AM","1","0","GB00043454","FREIGHT","Freight Charges","Duty Free",,,,,,,,,"271.940002441406",,,"0",,,,"1",,,,,
"-666.12998008728","-666.12998008728","No Asycuda Entries Found","-29",,"9/6/2018 12:00:00 AM","-29","0","GB00043468","SIK/295UVBK","Sealant, PU 295UV Black 300ml/Ctdg","Duty Free",,,,,,,,,"22.9699993133545",,,"0",,,,"1",,,,,
"-59.9099998474121","-59.9099998474121","Returned More than Sold","-1",,"9/6/2018 12:00:00 AM","-1","0","GB00043468","SIK/209","Primer, f/295UV on Mineral-Glass 250ml/C","Duty Free",,,,,,,,,"59.9099998474121",,,"0",,,,"2",,,,,
"73.6800003051758","73.6800003051758","Over Allocated Entry by 1","1",,"9/6/2018 12:00:00 AM","1","0","GB00043469","CB/BM30X45","Cutlass-Bearing, 30 x 45 x 120mm Brs","Duty Free","37706","10/5/2018 12:00:00 AM",,"0",,,,"40","73.6800003051758","589.440002441406","127.61","0","True",,,"3","OPS-2018-08-31-F5",,"84839029","False","10/4/2020 12:00:00 AM"
"73.6800003051758","73.6800003051758","Over Allocated Entry by 1","1",,"9/6/2018 12:00:00 AM","1","0","GB00043469","CB/BM30X45","Cutlass-Bearing, 30 x 45 x 120mm Brs","Duty Free","37706","10/5/2018 12:00:00 AM",,"0",,,,"40","73.6800003051758","589.440002441406","127.61","0","True",,,"4","OPS-2018-08-31-F5",,"84839029","False","10/4/2020 12:00:00 AM"
"271.940002441406","271.940002441406","No Asycuda Entries Found","1",,"9/6/2018 12:00:00 AM","1","0","GB00043471","FREIGHT","Freight Charges","Duty Free",,,,,,,,,"271.940002441406",,,"0",,,,"1",,,,,
